year,country,team_size_all,team_size_male,team_size_female,p1,p2,p3,p4,p5,p6,p7,awards_gold,awards_silver,awards_bronze,awards_honorable_mentions,leader,deputy_leader,longitude,latitude
2024,Brazil,6,6.0,0.0,36.0,42.0,3.0,38.0,10.0,5.0,,1.0,3.0,2.0,0.0,Luciano Monteiro De Castro,Rafael Filipe Dos Santos,-48.54259192599997,-48.58324133999986
2024,France,6,6.0,0.0,39.0,21.0,5.0,42.0,18.0,8.0,,1.0,3.0,1.0,1.0,Théo Lenoir,Martin Rakovsky,55.5013126960001,45.27572675900015
2024,Serbia,6,6.0,0.0,42.0,20.0,14.0,35.0,17.0,4.0,,0.0,4.0,1.0,1.0,Miljan Knežević,Teodor Von Burg,,
2024,Canada,6,5.0,1.0,37.0,23.0,8.0,42.0,11.0,10.0,,0.0,4.0,1.0,1.0,Victor Rong,Anna Kelley,-65.61058508999994,-59.85837099799994
2024,Mexico,6,6.0,0.0,40.0,17.0,4.0,36.0,30.0,2.0,,1.0,2.0,2.0,1.0,Luis Eduardo García Hernández,José Ignacio Barradas Bribiesca,-114.73403886599989,-87.37942460799991
2024,Austria,6,6.0,0.0,38.0,26.0,2.0,29.0,28.0,4.0,,0.0,5.0,0.0,1.0,Theresia Eisenkölbl,Stefan Leopoldseder,15.161792440000113,
2024,Kazakhstan,6,6.0,0.0,35.0,35.0,0.0,40.0,13.0,4.0,,0.0,3.0,2.0,1.0,Assylbek Issakhov,Kanat Satylkhanov,50.6595158210001,50.0428166020001
2024,Bulgaria,6,5.0,1.0,42.0,15.0,4.0,42.0,20.0,3.0,,0.0,3.0,2.0,1.0,Stanislav Harizanov,Stoyan Boev,22.919561808000054,
2024,Greece,6,6.0,0.0,42.0,21.0,2.0,42.0,15.0,4.0,,1.0,2.0,3.0,0.0,Anargyros Fellouris,Silouanos Brazitikos,24.135264519000145,27.007090691000116
2024,Kyrgyzstan,6,6.0,0.0,30.0,21.0,0.0,42.0,27.0,2.0,,1.0,3.0,0.0,2.0,Timur Mambetov,Makhamadkhan Ishmatov,75.20463911900009,
2024,Peru,6,5.0,1.0,42.0,25.0,0.0,35.0,16.0,4.0,,0.0,2.0,3.0,1.0,Jesus Zapata,Jose Garcia,-76.17565995399988,-76.4507312319999
2024,Germany,6,5.0,1.0,40.0,27.0,2.0,32.0,19.0,0.0,,0.0,2.0,4.0,0.0,Uwe Leck,Christian Bernert,6.742198113000114,6.873789910000141
2024,New Zealand,6,5.0,1.0,42.0,14.0,0.0,42.0,22.0,0.0,,0.0,3.0,3.0,0.0,Ross Atkins,Kevin Shen,169.21275979100002,166.20525149800008
2024,Malaysia,6,5.0,1.0,42.0,21.0,1.0,42.0,10.0,2.0,,0.0,2.0,4.0,0.0,M. Syafiq Johar,Muhammad Zafree Zaharidan,111.4124455090001,104.17212975400011
2024,Vietnam,6,6.0,0.0,36.0,26.0,2.0,42.0,8.0,4.0,,0.0,2.0,3.0,1.0,Gia Vuong Nguyen Chu,Ba Khanh Trinh Le,106.66871178500006,106.22339928500017
2024,Croatia,6,6.0,0.0,40.0,11.0,0.0,42.0,20.0,3.0,,0.0,3.0,2.0,1.0,Ivan Novak,Lukas Novak,16.933929884000094,17.371592644000117
2024,Slovakia,6,4.0,2.0,38.0,15.0,5.0,28.0,29.0,1.0,,1.0,1.0,3.0,1.0,Martin Vodička,Ákos Záhorský,19.706321249000098,
2024,Thailand,6,6.0,0.0,38.0,32.0,1.0,35.0,8.0,2.0,,0.0,3.0,1.0,2.0,Nithi Rungtanapirom,Teeradej Kittipassorn,99.247813347,99.65870201900012
2024,Armenia,6,6.0,0.0,35.0,21.0,2.0,40.0,14.0,1.0,,0.0,0.0,5.0,1.0,Smbat Gogyan,Grigor Keropyan,45.54717289200002,45.039400268000094
2024,Australia,6,2.0,4.0,37.0,21.0,3.0,42.0,9.0,1.0,,1.0,1.0,2.0,2.0,Hadyn Tang,Michelle Chen,158.86573326900012,147.36548912900005
2024,Ukraine,6,4.0,2.0,38.0,22.0,1.0,35.0,17.0,0.0,,0.0,2.0,3.0,1.0,Bogdan Rublov,Andrii Anikushyn,29.807465040000153,32.783213738000114
2024,Indonesia,6,6.0,0.0,42.0,17.0,0.0,42.0,9.0,1.0,,1.0,0.0,3.0,2.0,Nanang Susyanto,Aleams Barra,121.59742272200018,123.36133873800017
2024,Saudi Arabia,6,6.0,0.0,39.0,18.0,2.0,42.0,10.0,0.0,,0.0,1.0,4.0,1.0,Sultan Albarakati,Majid Almarhoumi,41.89846671200016,41.945467515000104
2024,Uzbekistan,6,5.0,1.0,36.0,20.0,1.0,35.0,18.0,0.0,,0.0,2.0,3.0,0.0,Utkir Boltaev,Umid Rakhmonov,71.75730432100013,71.17692631000014
2024,Netherlands,6,6.0,0.0,37.0,18.0,0.0,37.0,16.0,1.0,,0.0,1.0,4.0,1.0,Quintijn Puite,Johan Konter,-68.23729407499985,-62.958723137999925
2024,Georgia,6,6.0,0.0,39.0,15.0,1.0,36.0,15.0,2.0,,1.0,0.0,3.0,1.0,George Chelidze,Givi Nadibaidze,40.47983361800013,
2024,North Macedonia,6,6.0,0.0,38.0,12.0,1.0,41.0,13.0,2.0,,1.0,0.0,2.0,3.0,Ilija Jovceski,Mirko Petrushevski,,
2024,Turkmenistan,6,6.0,0.0,33.0,15.0,1.0,42.0,15.0,1.0,,0.0,2.0,2.0,2.0,Pirmyrat Gurbanov,Murat Chashemov,53.10206139400006,53.50863691500015
2024,Switzerland,6,5.0,1.0,42.0,12.0,2.0,36.0,14.0,0.0,,1.0,0.0,1.0,4.0,David Rusch,Tan Hong,8.61743737800009,
2024,Czech Republic,6,3.0,3.0,36.0,8.0,0.0,42.0,16.0,1.0,,0.0,2.0,2.0,2.0,Danil Koževnikov,Lenka Kopfová,14.39780806400006,
2024,Philippines,6,6.0,0.0,40.0,13.0,1.0,35.0,13.0,0.0,,0.0,1.0,3.0,2.0,Hazel Joy Shi,Kerish Villegas,119.84978274800014,119.45655358200023
2024,Sweden,6,5.0,1.0,41.0,13.0,1.0,30.0,14.0,3.0,,0.0,1.0,3.0,2.0,Victor Ufnarovski,David Wärn,15.675303582000083,17.081879102000073
2024,Lithuania,5,3.0,2.0,35.0,9.0,6.0,30.0,14.0,0.0,,1.0,0.0,2.0,2.0,Artūras Dubickas,Zina Šiaulienė,20.988942905000073,24.936286255000113
2024,South Africa,6,4.0,2.0,34.0,8.0,0.0,35.0,16.0,0.0,,0.0,1.0,2.0,1.0,Dylan Nelson,Kerry Porrill,37.86378014400023,37.93864993600019
2024,Slovenia,6,4.0,2.0,40.0,5.0,0.0,37.0,8.0,2.0,,0.0,1.0,1.0,3.0,Gregor Dolinar,Luka Horjak,16.34342574100009,
2024,Estonia,6,6.0,0.0,30.0,13.0,0.0,29.0,19.0,0.0,,0.0,1.0,1.0,4.0,Oleg Košik,Hendrik Vija,23.270192905000044,23.970713738000114
2024,Argentina,6,5.0,1.0,36.0,15.0,0.0,17.0,21.0,1.0,,0.0,1.0,3.0,1.0,Patricia Fauring,Martín Mereb,-68.65412350199998,-64.32371985599994
2024,Cyprus,6,4.0,2.0,31.0,9.0,0.0,37.0,9.0,2.0,,0.0,2.0,1.0,3.0,Demetres Christofides,Constantinos Koupparis,33.773989705000105,33.742792014000116
2024,Denmark,6,5.0,1.0,42.0,4.0,1.0,27.0,14.0,0.0,,0.0,0.0,2.0,4.0,Kirsten Rosenkilde,Magnus Ridder Olsen,11.25603274800011,10.364268425000091
2024,Colombia,6,5.0,1.0,35.0,5.0,0.0,35.0,12.0,0.0,,0.0,0.0,2.0,4.0,Maria Losada,Santiago Rodríguez,-78.2048906179999,-77.83991451699987
2024,Latvia,6,6.0,0.0,32.0,6.0,0.0,35.0,14.0,0.0,,0.0,0.0,2.0,4.0,Kims Georgs Pavlovs,Ilmārs Štolcers,25.333678019000104,
2024,Algeria,6,6.0,0.0,30.0,11.0,0.0,36.0,8.0,1.0,,1.0,0.0,0.0,4.0,Rahmani Abdallah,Hacene Belbachir,8.602510428642177,
2024,Finland,6,4.0,2.0,40.0,6.0,2.0,17.0,19.0,1.0,,0.0,1.0,1.0,3.0,Anne-Maria Ernvall-Hytönen,Daniel Slivinskiy,22.443695509000094,23.90870201900006
2024,Norway,6,6.0,0.0,36.0,8.0,0.0,24.0,17.0,0.0,,0.0,0.0,3.0,3.0,Dávid Kunszenti-Kovács,Edvard Walde Heimdal,3.38257897200009,11.047618035000141
2024,Republic of Moldova,5,4.0,1.0,31.0,8.0,2.0,29.0,14.0,0.0,,0.0,1.0,2.0,2.0,Valeriu Guțu,Marcel Teleucă,,
2024,Bangladesh,6,5.0,1.0,33.0,8.0,0.0,28.0,14.0,0.0,,0.0,0.0,2.0,4.0,Mahbubul Alam Majumdar,Mirza Md Tanjim Shorif Mugdho,91.93873131600012,89.13249759200002
2024,Costa Rica,6,5.0,1.0,29.0,2.0,0.0,35.0,16.0,0.0,,0.0,0.0,2.0,3.0,Oscar Zamora Luna,Anthony Santiago Chaves Aguilar,-87.0990291009999,-83.8780764059999
2024,Belgium,6,6.0,0.0,38.0,11.0,0.0,22.0,9.0,0.0,,0.0,1.0,2.0,1.0,Bart Windels,Philippe Niederkorn,4.815447224000138,
2024,Spain,6,6.0,0.0,37.0,17.0,1.0,10.0,13.0,2.0,,0.0,0.0,2.0,3.0,María Gaspar,Óscar Rivero,-17.885121222999942,-15.414947068999908
2024,Tajikistan,6,6.0,0.0,29.0,8.0,0.0,33.0,9.0,1.0,,0.0,0.0,2.0,3.0,Pirahmad Olimjoni,Malik Sitamov,70.61990604700006,70.64507246900021
2024,Portugal,6,5.0,1.0,37.0,10.0,2.0,11.0,11.0,0.0,,0.0,0.0,1.0,4.0,Joana Teles,Nuno Miguel Arala Santos,-16.023101365999963,-15.859771287999962
2024,Sri Lanka,6,6.0,0.0,42.0,4.0,0.0,17.0,8.0,0.0,,0.0,0.0,2.0,4.0,Ghaura Abheendra Mahabaduge,Gonaduwage Maneth Banula Perera,81.8226017590001,79.91651451900012
2024,Cuba,6,4.0,2.0,36.0,0.0,0.0,31.0,0.0,1.0,,0.0,0.0,0.0,5.0,Ernesto Alejandro López Cadalso,Roman Fresneda Quiroga,-78.38418535099993,-78.5782771479999
2024,Ireland,6,6.0,0.0,34.0,3.0,0.0,22.0,8.0,0.0,,0.0,0.0,0.0,4.0,Andrew Smith,Tianyiwa Xie,-9.82408606699994,-10.318267381999902
2024,Tunisia,6,6.0,0.0,28.0,4.0,0.0,28.0,7.0,0.0,,0.0,0.0,1.0,3.0,Taoufik Charrada,Raouf Thabet,10.929942254000082,11.0557084000001
2024,Azerbaijan,6,5.0,1.0,36.0,10.0,0.0,17.0,1.0,0.0,,0.0,0.0,1.0,5.0,Abbas Mammadov,Ismat Aghayev,45.07499903900006,50.621267123000024
2024,Pakistan,6,6.0,0.0,28.0,7.0,1.0,19.0,9.0,0.0,,0.0,1.0,1.0,1.0,Sarfraz Ahmad,Hani Shaker,67.47779381600006,74.8243005780001
2024,Syria,6,6.0,0.0,36.0,7.0,0.0,21.0,0.0,0.0,,0.0,0.0,1.0,4.0,Omran Kouba,Mohamad Firas Alhalabi,42.2368323160002,
2024,Luxembourg,6,2.0,4.0,34.0,2.0,0.0,16.0,8.0,0.0,,0.0,0.0,1.0,3.0,Pascal Zeihen,Bernard Felten,6.038628377000094,
2024,Macau,6,5.0,1.0,28.0,0.0,0.0,21.0,7.0,0.0,,0.0,0.0,0.0,5.0,Hou Tin Chau,Kan Chun Leong,,
2024,Albania,6,5.0,1.0,19.0,2.0,0.0,29.0,1.0,0.0,,0.0,0.0,1.0,3.0,Erind Bedalli,Bruno Bajo,19.747765747000074,
2024,Iraq,5,4.0,1.0,23.0,4.0,0.0,16.0,7.0,0.0,,0.0,0.0,2.0,1.0,Abdullah Muqdad Mawlood Alani,Ekram Rahim Ghaffar Ghaffar,42.896740357000084,
2024,Kosovo,6,5.0,1.0,30.0,3.0,0.0,13.0,2.0,0.0,,0.0,0.0,0.0,4.0,Dorlir Ahmeti,Besfort Shala,20.864700154000047,
2024,Uruguay,6,5.0,1.0,28.0,1.0,0.0,18.0,1.0,0.0,,0.0,0.0,0.0,3.0,Nelson Raul Chocca,Guillermo Stock Lorenzo,-56.90636673999998,
2024,Ecuador,6,6.0,0.0,19.0,0.0,0.0,13.0,14.0,0.0,,0.0,0.0,1.0,2.0,Jorge Chamaidan,Jhosue Infante,-80.11510169199994,-79.85751088699996
2024,Dominican Republic,6,6.0,0.0,24.0,0.0,0.0,7.0,8.0,0.0,,0.0,0.0,0.0,3.0,Abdul Abner Lugo Jiménez,Elba Teresa Mejía De La Cruz,-71.50739498599995,-68.66405188699989
2024,Rwanda,6,4.0,2.0,31.0,0.0,0.0,7.0,1.0,0.0,,0.0,0.0,0.0,4.0,Obed Nsanzimfura Korusenge,Salvi Mucyo,30.471785843000134,
2024,Trinidad and Tobago,5,5.0,0.0,19.0,1.0,0.0,9.0,8.0,0.0,,0.0,0.0,0.0,2.0,Indra Haraksingh,Prasanna Ramakrishnan,-60.90729732999998,-60.52208411399994
2024,Iceland,6,4.0,2.0,11.0,1.0,0.0,10.0,13.0,0.0,,0.0,0.0,0.0,2.0,Sigurður Jens Albertsson,Elvar Wang Atlason,-20.269642706999917,-17.749256964999887
2024,Myanmar,6,4.0,2.0,16.0,0.0,0.0,14.0,0.0,0.0,,0.0,0.0,0.0,3.0,Aung Kyaw,Shine Maw Arnt,98.0574650400001,98.27515709700012
2024,Nepal,6,6.0,0.0,19.0,1.0,0.0,7.0,1.0,0.0,,0.0,0.0,0.0,2.0,Chhabi Dhungana,Narayan Paudel,81.77901818800007,
2024,Bolivia,4,3.0,1.0,15.0,2.0,0.0,8.0,0.0,1.0,,0.0,0.0,1.0,1.0,,Guillermo Fernando Vera Hurtado,-65.29246984899996,
2024,Uganda,6,4.0,2.0,10.0,0.0,0.0,11.0,1.0,0.0,,0.0,0.0,0.0,1.0,Joseph Ssebuliba,Medi Ssesanga,34.10802616400014,
2024,Paraguay,4,4.0,0.0,10.0,0.0,0.0,9.0,1.0,0.0,,0.0,0.0,0.0,1.0,Shing Cheng Chan Chang,Carmen Cecilia Sánchez Vázquez,-58.15879675299999,
2024,Ivory Coast,6,5.0,1.0,14.0,0.0,0.0,4.0,1.0,0.0,,0.0,0.0,0.0,0.0,Modeste Essoh,Aboubacar Camara,-3.1849666009999,-6.249458780999873
2024,Puerto Rico,3,2.0,1.0,15.0,0.0,0.0,1.0,2.0,0.0,,0.0,0.0,0.0,1.0,Natalia María Pacheco Tallaj,Juan Esteban Florez Coronel,-67.87315833199992,-65.28307044199994
2024,Chile,2,2.0,0.0,10.0,0.0,0.0,0.0,7.0,0.0,,0.0,0.0,0.0,1.0,Hernan Burgos,Anibal Velozo,-67.25609290299991,-67.10142981699991
2024,El Salvador,3,2.0,1.0,7.0,0.0,0.0,9.0,1.0,0.0,,0.0,0.0,0.0,1.0,,Riquelmi Salvador Cardona Fuentes,-87.69699627599994,-87.76380481799995
2024,Nicaragua,1,1.0,0.0,7.0,1.0,0.0,7.0,1.0,0.0,,0.0,0.0,1.0,0.0,,Rufo Holvin Casco Arévalo,-83.7203669909999,-83.05394446499992
2024,Botswana,6,5.0,1.0,14.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,Mmoloki Lekhutlile,Mathews Masole,25.259780721000112,
2024,Liechtenstein,1,1.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,,0.0,0.0,0.0,1.0,Ricardo Olivo,Elia Steinfeld,9.581202840000032,
2024,Venezuela,3,2.0,1.0,6.0,0.0,0.0,4.0,4.0,0.0,,0.0,0.0,0.0,0.0,Rafael Sánchez,Francisco Molina Tirado,-61.39027141599988,-61.00568600199992
2024,Panama,1,1.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,,0.0,0.0,0.0,1.0,Joselito Wong,,-81.80719967399995,-81.05284583199992
2024,Bhutan,5,5.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,,0.0,0.0,0.0,0.0,Yeshi Dorji,Pema Choden,90.26180417819833,
2024,Kenya,5,5.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,James Kiwanuka Katende,Martin Mungai Ndungu,41.16277103000007,35.39611689296228
2024,Ghana,6,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Eric Shen,Joel Manu,-0.16610917099996,
2024,Oman,6,0.0,6.0,2.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,Mian Mohammed Salim Al Hinai,Mahmood Mohammed Sarahan Al Hashami,55.89079837300008,56.0310978520001
2024,Honduras,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Devis Moises Alvarado Zavala,,-87.62433834499993,-87.61241614499988
2024,United Arab Emirates,4,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Ushangi Goginava,Ayesha Mohammad Alhaj Mahmood Al Nasser,53.863047722,54.1907658210001
2023,People's Republic of China,6,6.0,0.0,42.0,42.0,42.0,42.0,42.0,30.0,,6.0,0.0,0.0,0.0,Liang Xiao,Zhenhua Qu,,
2023,United States of America,6,6.0,0.0,42.0,42.0,42.0,42.0,37.0,17.0,,5.0,1.0,0.0,0.0,Po-Shen Loh,Carl Schildkraut,-155.6065189699999,-156.5445550619999
2023,Republic of Korea,6,6.0,0.0,42.0,40.0,42.0,42.0,33.0,16.0,,4.0,2.0,0.0,0.0,Suyoung Choi,Hwajong Yoo,,
2023,Romania,6,6.0,0.0,42.0,42.0,42.0,42.0,24.0,16.0,,5.0,1.0,0.0,0.0,Cătălin Gherghe,Mihai Chis,26.722378784000114,
2023,Canada,6,6.0,0.0,42.0,29.0,25.0,42.0,38.0,7.0,,1.0,4.0,1.0,0.0,Antonio Molina Lovett,Caleb Ji,-65.61058508999994,-59.85837099799994
2023,Japan,6,6.0,0.0,42.0,32.0,27.0,42.0,32.0,6.0,,2.0,3.0,1.0,0.0,Sogo Murakami,Keiko Tasaki,141.46794681100008,153.97828209700018
2023,Vietnam,6,6.0,0.0,42.0,42.0,21.0,42.0,28.0,5.0,,2.0,2.0,2.0,0.0,Anh Vinh  Le,Ba Khanh Trinh Le,106.66871178500006,106.22339928500017
2023,Türkiye,6,5.0,1.0,42.0,42.0,29.0,42.0,13.0,8.0,,1.0,5.0,0.0,0.0,Azer Kerimov,Selim Bahadır,,
2023,India,6,6.0,0.0,41.0,35.0,25.0,42.0,26.0,5.0,,2.0,2.0,2.0,0.0,Prithwijit De,Sahil Mhaskar,93.85531660200016,93.628184441
2023,Taiwan,6,6.0,0.0,42.0,36.0,13.0,42.0,38.0,2.0,,1.0,4.0,1.0,0.0,Yen-chi Roger Lin,Chu-Lan Kao,121.58765709700006,121.49610436300011
2023,Islamic Republic of Iran,6,6.0,0.0,42.0,42.0,26.0,42.0,16.0,4.0,,1.0,4.0,1.0,0.0,Seyed Hessam Firouzi,Amin Behjati,,
2023,Singapore,6,6.0,0.0,42.0,42.0,20.0,36.0,29.0,2.0,,2.0,3.0,0.0,1.0,Yong Sheng Soh,Lixing Zong,103.96078535200013,
2023,United Kingdom,6,6.0,0.0,42.0,30.0,22.0,39.0,34.0,0.0,,2.0,2.0,2.0,0.0,Dominic Yeo,Freddie Illingworth,-6.287505662999905,-6.332508917999888
2023,Israel,6,6.0,0.0,39.0,18.0,28.0,42.0,33.0,3.0,,1.0,3.0,2.0,0.0,Dan Carmon,Ilya Gringlaz,35.80363326000017,
2023,Mexico,6,6.0,0.0,42.0,31.0,22.0,42.0,24.0,2.0,,1.0,3.0,2.0,0.0,Kevin William Beuchot Castellanos,José Ignacio Barradas Bribiesca,-114.73403886599989,-87.37942460799991
2023,Brazil,6,6.0,0.0,42.0,38.0,8.0,42.0,29.0,2.0,,1.0,2.0,3.0,0.0,Edmilson Motta,Samuel Barbosa Feitosa,-48.54259192599997,-48.58324133999986
2023,Belarus,6,6.0,0.0,42.0,36.0,14.0,42.0,23.0,2.0,,0.0,4.0,2.0,0.0,David Zmiaikou,Dzmitry Bazyleu,28.148906697000115,
2023,Italy,6,6.0,0.0,38.0,41.0,8.0,42.0,29.0,1.0,,1.0,2.0,3.0,0.0,Massimo Gobbino,Samuele Mongodi,12.621267123000052,12.856944207000112
2023,Thailand,6,6.0,0.0,42.0,31.0,24.0,37.0,24.0,0.0,,1.0,3.0,1.0,1.0,Nithi Rungtanapirom,Teeradej Kittipassorn,99.247813347,99.65870201900012
2023,Germany,6,6.0,0.0,42.0,38.0,11.0,36.0,29.0,0.0,,0.0,3.0,3.0,0.0,Uwe Leck,Eric Müller,6.742198113000114,6.873789910000141
2023,Kazakhstan,6,6.0,0.0,42.0,42.0,17.0,41.0,12.0,0.0,,0.0,2.0,4.0,0.0,Assylbek Issakhov,Kanat Satylkhanov,50.6595158210001,50.0428166020001
2023,Hungary,6,5.0,1.0,42.0,26.0,11.0,42.0,32.0,0.0,,1.0,2.0,3.0,0.0,Viktor Harangi,Sándor Dobos,20.981488891000083,
2023,Australia,6,4.0,2.0,42.0,38.0,13.0,36.0,19.0,4.0,,1.0,2.0,2.0,1.0,Angelo Di Pasquale,Hadyn  Tang,158.86573326900012,147.36548912900005
2023,Hong Kong,6,6.0,0.0,42.0,16.0,20.0,42.0,27.0,4.0,,1.0,1.0,4.0,0.0,Tak Wing Ching,Long Tin Chan,,
2023,Bulgaria,6,6.0,0.0,42.0,29.0,10.0,42.0,22.0,4.0,,1.0,1.0,4.0,0.0,Stanislav Harizanov,Stoyan Boev,22.919561808000054,
2023,Greece,6,6.0,0.0,37.0,34.0,12.0,42.0,20.0,0.0,,1.0,1.0,3.0,1.0,Anargyros Fellouris,Silouanos Brazitikos,24.135264519000145,27.007090691000116
2023,Philippines,6,6.0,0.0,41.0,28.0,4.0,42.0,30.0,0.0,,0.0,3.0,3.0,0.0,Hazel Joy Shi,Kerish Villegas,119.84978274800014,119.45655358200023
2023,France,6,6.0,0.0,42.0,31.0,5.0,42.0,20.0,2.0,,0.0,1.0,5.0,0.0,Vincent Jugé,Théo Lenoir,55.5013126960001,45.27572675900015
2023,Netherlands,6,6.0,0.0,42.0,29.0,1.0,42.0,25.0,0.0,,0.0,1.0,5.0,0.0,Quintijn Puite,Johan Konter,-68.23729407499985,-62.958723137999925
2023,Mongolia,6,6.0,0.0,42.0,32.0,7.0,42.0,15.0,0.0,,1.0,0.0,4.0,1.0,Otgonbayar Uuye,Batbayasgalan Balkhuu,100.0059676520001,
2023,Ukraine,6,2.0,4.0,42.0,27.0,8.0,37.0,20.0,0.0,,0.0,1.0,5.0,0.0,Bogdan Rublov,Zarina  Kodyrova,29.807465040000153,32.783213738000114
2023,Armenia,6,6.0,0.0,42.0,31.0,6.0,42.0,12.0,0.0,,0.0,2.0,3.0,1.0,Smbat Gogyan,Gurgen Asatryan,45.54717289200002,45.039400268000094
2023,Peru,6,6.0,0.0,37.0,34.0,6.0,36.0,15.0,5.0,,0.0,2.0,3.0,0.0,Jonathan Farfan,,-76.17565995399988,-76.4507312319999
2023,Poland,6,6.0,0.0,42.0,21.0,1.0,41.0,28.0,0.0,,0.0,1.0,4.0,1.0,Tomasz Cieśla,Łukasz Bożyk,19.00212649800008,
2023,Spain,6,6.0,0.0,38.0,24.0,4.0,36.0,28.0,1.0,,0.0,1.0,4.0,1.0,María Gaspar,Marc Felipe,-17.885121222999942,-15.414947068999908
2023,Bosnia and Herzegovina,6,6.0,0.0,42.0,37.0,0.0,35.0,16.0,0.0,,0.0,1.0,4.0,1.0,Adisa Bolić,Goran Janković,16.941528768000097,
2023,Saudi Arabia,6,6.0,0.0,42.0,33.0,3.0,36.0,16.0,0.0,,0.0,1.0,3.0,2.0,Sultan Albarakati,ALzubair Habibullah,41.89846671200016,41.945467515000104
2023,Georgia,6,5.0,1.0,42.0,17.0,11.0,42.0,16.0,1.0,,1.0,0.0,4.0,1.0,George Chelidze,Givi Nadibaidze,40.47983361800013,
