Country Name,Country Code,Series,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],df
Afghanistan,AFG,PIAAC: Adults by numeracy proficiency level (%). Level 4,LO.PIAAC.NUM.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Percentage of graduates from tertiary education graduating from Natural Sciences, Mathematics and Statistics programmes, both sexes (%)",SE.TER.GRAD.SC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2549.47302184377,1909.114038437,1823.30767260917,2057.44965661892,2289.87313531323,2665.76490612222,2980.06628849579,2717.36212449434,3021.01473768125,3471.65259162591,3861.334172426,4301.35279874992,4661.37155341076,4994.51880731917,5422.7784619431,5865.30619612569,6559.78325677995,7276.30296869082,8228.37423890574,8814.81085605008,9628.02578340836,10207.7523472149,10526.2354457688,10571.0106501214,11259.2258938162,11662.0304810353,11868.1789681017,12930.1400345966,13364.1553966514,..,..,..,..,..
Albania,ALB,"Population, total",SP.POP.TOTL,..,..,..,..,..,..,..,..,..,..,2135479,2187853,2243126,2296752,2350124,2404831,2458526,2513546,2566266,2617832,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2867000,..,..,..,..
Albania,ALB,Barro-Lee: Percentage of population age 15+ with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.15UP.ZS,1.34,..,..,..,..,1.56,..,..,..,..,1.67,..,..,..,..,1.93,..,..,..,..,2.12,..,..,..,..,2.66,..,..,..,..,3,..,..,..,..,3.17,..,..,..,..,3.51,..,..,..,..,2.35,..,..,..,..,0.93,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"World Bank: Total public education expenditure, % of government spending",PER.ALL.TTL.GOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.7,..,..,..,..,..,..,..,11.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.71298,..,..,..,..,..,..,95.93864,..,..,96.8453,97.24697,..,..,..,..,..,98.14115,..,..,..,..,..
Albania,ALB,Barro-Lee: Percentage of population age 15+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.15UP.ZS,5.73,..,..,..,..,6.97,..,..,..,..,9.19,..,..,..,..,12.82,..,..,..,..,17.04,..,..,..,..,22.44,..,..,..,..,25.59,..,..,..,..,24.86,..,..,..,..,26.63,..,..,..,..,32.92,..,..,..,..,42.9,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Barro-Lee: Percentage of population age 15+ with primary schooling. Completed Primary,BAR.PRM.CMPT.15UP.ZS,22.29,..,..,..,..,22.6,..,..,..,..,23.49,..,..,..,..,22.53,..,..,..,..,18.76,..,..,..,..,15.9,..,..,..,..,12.61,..,..,..,..,11.98,..,..,..,..,13.92,..,..,..,..,11.18,..,..,..,..,9.03,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,PIAAC: Young adults by numeracy proficiency level (%). Level 4 & 5,LO.PIAAC.NUM.YOU.45,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,PIAAC: Adults by proficiency level in problem solving in technology-rich environments (%). Level 3,LO.PIAAC.TEC.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,PIAAC: Adults by numeracy proficiency level (%). Level 5,LO.PIAAC.NUM.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,PIAAC: Adults by numeracy proficiency level (%). Level 4,LO.PIAAC.NUM.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Percentage of graduates from tertiary education graduating from Natural Sciences, Mathematics and Statistics programmes, both sexes (%)",SE.TER.GRAD.SC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.0982,0.95279,..,0.86505,..,..,..,..,..,..,..,4.51705,..,..,..,5.28268,4.66126,4.91702,4.30223,4.09275,..,..,..,..
Algeria,DZA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6683.94251044679,6661.13959247123,6774.46596213675,6640.1668105834,6583.17260367457,6844.63963324371,7129.63842232678,7214.87270695396,7553.94658827198,7797.01507100731,8162.58757272877,8480.07045862817,8981.34926734444,9682.4760351135,10234.9309046785,11022.1474669711,11380.0944227252,11897.1038212039,12218.0473865624,12294.6124889925,12655.1374103049,13046.1285113709,13482.7211230765,13823.8282325269,14326.283007894,14711.2208543312,15036.3641495916,15207.1791488773,15481.7876195754,..,..,..,..,..
Algeria,DZA,"Population, total",SP.POP.TOTL,..,..,..,..,..,..,..,..,..,..,14464985,14872250,15285990,15709825,16149025,16607707,17085801,17582904,18102266,18647815,19221665,19824301,20452902,21101875,21763575,22431502,23102389,23774284,24443467,25106190,25758869,26400479,27028326,27635515,28213774,28757785,29266405,29742979,30192754,30623406,31042235,31451514,31855109,32264157,32692163,33149724,33641002,34166972,34730608,35333881,35977455,36661444,37383887,38140132,38923687,39728025,40551404,41389198,42228429,43053000,..,..,..,..
Algeria,DZA,Barro-Lee: Percentage of population age 15+ with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.15UP.ZS,0.17,..,..,..,..,0.22,..,..,..,..,0.18,..,..,..,..,0.38,..,..,..,..,0.77,..,..,..,..,1.34,..,..,..,..,1.97,..,..,..,..,2.53,..,..,..,..,3.4,..,..,..,..,3.78,..,..,..,..,6.66,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"World Bank: Total public education expenditure, % of government spending",PER.ALL.TTL.GOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19,20.8,19.5,20,19.9,16.7,15.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49.63088,..,..,..,..,..,..,..,..,..,..,..,..,..,..,69.8735,..,..,..,72.64868,..,75.13605,..,..,..,..,..,..,..,..,..,81.40784,..,..,..,..,..
Algeria,DZA,Barro-Lee: Percentage of population age 15+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.15UP.ZS,1.05,..,..,..,..,2.11,..,..,..,..,3.26,..,..,..,..,5.1,..,..,..,..,7.56,..,..,..,..,11.31,..,..,..,..,14.35,..,..,..,..,16.37,..,..,..,..,15.41,..,..,..,..,14,..,..,..,..,17.08,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Barro-Lee: Percentage of population age 15+ with primary schooling. Completed Primary,BAR.PRM.CMPT.15UP.ZS,2.76,..,..,..,..,2.53,..,..,..,..,5.23,..,..,..,..,4.26,..,..,..,..,4.59,..,..,..,..,13.02,..,..,..,..,14.74,..,..,..,..,19.34,..,..,..,..,24.04,..,..,..,..,27.2,..,..,..,..,25.88,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,PIAAC: Young adults by numeracy proficiency level (%). Level 4 & 5,LO.PIAAC.NUM.YOU.45,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,PIAAC: Adults by proficiency level in problem solving in technology-rich environments (%). Level 3,LO.PIAAC.TEC.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,PIAAC: Adults by numeracy proficiency level (%). Level 5,LO.PIAAC.NUM.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,PIAAC: Adults by numeracy proficiency level (%). Level 4,LO.PIAAC.NUM.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Percentage of graduates from tertiary education graduating from Natural Sciences, Mathematics and Statistics programmes, both sexes (%)",SE.TER.GRAD.SC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.96718,..,7.64799,9.69216,7.83222,..,..,..,11.14256,11.84467,..,9.56984,..,..,..,..,..
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,..,..,..,..,..,..,..,..,..,..,27363,27984,28567,29100,29596,30052,30456,30838,31269,31845,32646,33701,34968,36412,37946,39519,41119,42740,44343,45894,47347,48685,49896,51020,52095,53161,54211,55221,56171,57053,57821,58494,59080,59504,59681,59562,59107,58365,57492,56683,56079,55759,55667,55713,55791,55812,55741,55620,55465,55000,..,..,..,..
American Samoa,ASM,Barro-Lee: Percentage of population age 15+ with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.15UP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"World Bank: Total public education expenditure, % of government spending",PER.ALL.TTL.GOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.34416,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Barro-Lee: Percentage of population age 15+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.15UP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Barro-Lee: Percentage of population age 15+ with primary schooling. Completed Primary,BAR.PRM.CMPT.15UP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,PIAAC: Young adults by numeracy proficiency level (%). Level 4 & 5,LO.PIAAC.NUM.YOU.45,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,PIAAC: Adults by proficiency level in problem solving in technology-rich environments (%). Level 3,LO.PIAAC.TEC.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,PIAAC: Adults by numeracy proficiency level (%). Level 5,LO.PIAAC.NUM.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,PIAAC: Adults by numeracy proficiency level (%). Level 4,LO.PIAAC.NUM.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Percentage of graduates from tertiary education graduating from Natural Sciences, Mathematics and Statistics programmes, both sexes (%)",SE.TER.GRAD.SC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Population, total",SP.POP.TOTL,..,..,..,..,..,..,..,..,..,..,24276,25559,26892,28232,29520,30705,31777,32771,33737,34818,36067,37500,39114,40867,42706,44600,46517,48455,50434,52448,54509,56671,58888,60971,62677,63850,64360,64327,64142,64370,65390,67341,70049,73182,76244,78867,80993,82684,83862,84463,84449,83747,82427,80774,79213,78011,77297,77001,77006,77000,..,..,..,..
Andorra,AND,Barro-Lee: Percentage of population age 15+ with tertiary schooling. Completed Tertiary,BAR.TER.CMPT.15UP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"World Bank: Total public education expenditure, % of government spending",PER.ALL.TTL.GOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Barro-Lee: Percentage of population age 15+ with secondary schooling. Completed Secondary,BAR.SEC.CMPT.15UP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Barro-Lee: Percentage of population age 15+ with primary schooling. Completed Primary,BAR.PRM.CMPT.15UP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,PIAAC: Young adults by numeracy proficiency level (%). Level 4 & 5,LO.PIAAC.NUM.YOU.45,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,PIAAC: Adults by proficiency level in problem solving in technology-rich environments (%). Level 3,LO.PIAAC.TEC.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,PIAAC: Adults by numeracy proficiency level (%). Level 5,LO.PIAAC.NUM.5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,PIAAC: Adults by numeracy proficiency level (%). Level 4,LO.PIAAC.NUM.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Percentage of graduates from tertiary education graduating from Natural Sciences, Mathematics and Statistics programmes, both sexes (%)",SE.TER.GRAD.SC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,..,0,..,..,..,0,..,..,0,0,0,0,0,..,..,..,..
Angola,AGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3089.68336935438,3120.35614817504,2908.16079787681,2190.7681595904,2195.53228856477,2496.19949342652,2794.8969061564,2953.34270858672,3027.34179530886,3037.72117507804,3097.30729223305,3191.26632340776,3564.09602605902,3614.60727755068,3978.69719448204,4555.18584237212,5048.87644915894,5697.25132780177,6221.42337303299,6092.78324493601,6230.29702791297,6346.39512245023,6772.52833330165,6980.42303765629,7199.24547787972,7096.60061493129,6756.93507434352,6650.58493982441,6452.35516529031,..,..,..,..,..
Angola,AGO,"Population, total",SP.POP.TOTL,..,..,..,..,..,..,..,..,..,..,5890365,6040777,6248552,6496962,6761380,7024000,7279509,7533735,7790707,8058067,8341289,8640446,8952950,9278096,9614754,9961997,10320111,10689250,11068050,11454777,11848386,12248901,12657366,13075049,13503747,13945206,14400719,14871570,15359601,15866869,16395473,16945753,17519417,18121479,18758145,19433602,20149901,20905363,21695634,22514281,23356246,24220661,25107931,26015780,26941779,27884381,28842484,29816748,30809762,31825000,..,..,..,..
